[00000.00-00005.00] 好的 那我們既然來看一下第三個部分的內容叫做高興技術
[00005.00-00010.00] 我們說了在整個科技場史 我們要講技術的昨天叫做科技發言史
[00010.00-00016.00] 技術的今天也去研究一些技術科學 那最後一個就是展望技術發展的明天
[00016.00-00021.00] 就是我們所說的高興技術 高興技術 我們以國要給大家講七節的內容
[00021.00-00026.00] 這七節內容的包括第一個 就是高興技術 他到底是怎麼回事 講一個大概的概數
[00026.00-00029.24] 但是這個概數它不是一個考察的一個重點
[00029.24-00032.88] 那其次我們要在高興技術之下的了解我們所說的
[00032.88-00036.88] 我們經常提到的核心技術到底有哪些
[00036.88-00040.80] 那在高興技術這一塊同們掌握它的時候從兩個角度去掌握
[00040.80-00044.84] 第一個就是我們在考察高興技術的時候同學要把高興技術
[00044.84-00050.36] 我們所給大家展示的這些或者給大家去講解的這些的原理
[00050.36-00051.92] 很內容去搞清楚
[00051.92-00054.52] 也就是我們之前給大家提到的
[00054.52-00058.32] 我们在学习这一部分的时候要以书本为基础为兰本
[00058.32-00059.92] 这是第一个书上一有的
[00059.92-00061.12] 我们要给它搞清楚
[00061.12-00064.12] 第二个名单要知道高薪技术在考察的时候
[00064.12-00065.92] 它不是单向性的
[00065.92-00067.32] 不是说像基础科学
[00067.32-00068.60] 我就直接考原理
[00068.60-00070.00] 就直接考生活宣响
[00070.00-00071.72] 考原理和现象的对应
[00071.72-00073.52] 而在整个高薪技术这一块
[00073.52-00076.32] 它往往会结合实正热点来考察
[00079.12-00081.92] 比如说我们经常会提到的航空航片
[00081.92-00084.12] 那航空航片的可能就会和空间技术
[00084.12-00087.08] 我们经常提到的什么抽算
[00087.08-00088.36] 量子机算机
[00088.36-00091.36] 这些就可能会和信息技术相结合
[00091.36-00094.16] 除了要把基本原理长庆祝之外
[00094.16-00096.48] 同时要去把这个点去结合
[00096.48-00098.48] 当下我们所设计到的什么
[00098.48-00100.20] 热点 把它放在一起
[00100.20-00102.40] 这个是我们所说的有关于高薪技术
[00102.40-00104.20] 它的考察的两个角度
[00104.20-00106.16] 了解了高薪技术怎么考察
[00106.16-00108.04] 接下来我们就主意来看一下
[00108.04-00109.32] 这些具体的那种
[00109.32-00111.24] 我们首先来看一下第一解
[00111.24-00112.92] 高薪技术的干数
[00112.92-00115.44] 高型高型什么叫做高型技术呢
[00115.44-00119.16] 在书上也说了高型技术就是我们常说的高科技 对吧
[00119.16-00122.76] 就是那些高大伤的我们感觉代表国家发展前端的
[00122.76-00124.52] 那这些就叫做高型技术
[00124.52-00127.28] 但是高型科学技术同学要掌握住一个点
[00127.28-00128.28] 其实是一句话
[00128.28-00131.28] 它的喊意是动态变化的
[00131.28-00133.44] 所谓的动态变化就意味着
[00133.44-00136.44] 我们所说的高型技术它所喊改的这些科目
[00136.44-00137.76] 它不是固定不变的
[00137.76-00141.68] 而是随着国家的不断变化发展而不断的去丰富的
[00141.68-00143.10] 所以大家知道高科技
[00143.10-00145.24] 它就是一个不断发展的过程就可以了
[00145.24-00147.64] 所以在这里明确它是动态
[00147.64-00150.90] 如果在这里说高科技记住是性态的
[00150.90-00154.76] 或者说它就只有哪些那种说法就是错的
[00154.76-00156.32] 首先这是第一个我们都知道
[00156.32-00157.88] 这是高科技的含意
[00157.88-00162.16] 高科技技数它其实是代表国家未来发展的科技企业
[00162.16-00163.88] 它一定是具有一些
[00163.88-00166.08] 我们所说的基础科学也好
[00166.08-00169.60] 或者我们常见的这些生活当中普遍的这些基础之似也好
[00169.60-00170.88] 不具备的一些特征
[00170.88-00172.88] 我們把這個特徵的稱為叫做
[00172.88-00173.68] 六高
[00173.68-00175.84] 那這六高分別代表的是什麼呢
[00175.84-00177.60] 第一個叫做高制力
[00177.60-00178.28] 那必然
[00178.28-00178.68] 對吧
[00178.68-00179.28] 並不是說
[00179.28-00180.44] 我想去研究彈道
[00180.44-00181.40] 我就能研究彈道
[00181.40-00182.72] 我想去研究何具變
