[00000.00-00004.08] 好,我们接下来看第六节就是新西技术
[00004.08-00008.04] 新西技术在我们日常称我当中,真的是非常常见
[00008.04-00010.52] 我们学习生活工作娱乐
[00010.52-00013.08] 其实都离不开相关的新技术
[00013.08-00015.80] 我们接下来看下新西技术它的具体内容
[00015.80-00018.36] 新西技术当中的第一个就叫做
[00018.36-00020.60] 剧酸机剧酸的剧酸机大家都知道
[00020.60-00022.76] 就是咱们所说的电脑
[00022.76-00025.60] 对吧,你看你的办公,你要用到电脑
[00025.60-00028.44] 然后你的打游戏娱乐什么都要和电脑有关
[00028.44-00030.80] 这个就是我们所说的信息技术
[00030.80-00033.20] 在这个信息技术的概括当中
[00033.20-00034.36] 第一个考虑是什么呢
[00034.36-00035.56] 就是让我们知道
[00035.56-00039.68] 世界上第一台通用电脑是谁在哪里发明的
[00039.68-00041.48] 通用把这个标志出来
[00041.48-00044.08] 它说1946年24号标主一下
[00044.08-00046.64] 叫世界上第一台通用机算机
[00046.64-00048.72] 叫爱尼阿克
[00048.72-00051.80] 在美国兵计法尼亚大学搞出来的
[00051.80-00056.08] 是谁我们所说的设计出来的
[00056.08-00057.88] 把这个人标注在旁边
[00057.88-00059.56] 这个人叫封落一慢
[00059.56-00060.04] 当然了
[00060.04-00061.00] 他这个一慢
[00061.00-00062.24] 也有这么写的
[00062.24-00063.76] 就是写什么样的都有
[00063.76-00065.24] 但只是翻译的问题
[00065.24-00066.28] 所以大家注意一下
[00066.28-00069.20] 这时候我们所说的第一台通用去算机
[00069.20-00070.52] 但其实说到计算机
[00070.52-00072.08] 同学们除了知道
[00072.08-00072.72] 这个点
[00072.72-00073.80] 就是第一台计算机
[00073.80-00074.84] 它的单声之外
[00074.84-00076.32] 同学们还要了解另外一个点
[00076.32-00077.04] 就是在这里
[00077.04-00078.96] 可能会有一个相关的知识拓展
[00078.96-00081.32] 而这个知识拓展的就是在日常生活当中
[00081.32-00082.44] 我们经常会听到
[00082.44-00083.16] 这个计算机
[00083.16-00085.98] 它其实有不同的这种类别
[00085.98-00087.98] 比如说大家听过超算
[00087.98-00091.06] 这个超算其的指责就是超级级算机
[00091.06-00092.78] 大家听过还听过一算
[00092.78-00096.60] 对吧 甚至都现在我们提到了叫做亮级算机
[00096.60-00098.88] 它其实都是和级算机相关的支持点
[00098.88-00102.88] 我们需要掌握的第二点就是在通用级算机的居主是上
[00102.88-00106.82] 要稍微了解一下我们现在可能会和实政认识点相结合的
[00107.96-00111.56] 比如说第一个我们所说的叫做超级级算机
[00111.56-00112.84] 现在旁边
[00112.84-00114.96] 超级
[00114.96-00116.16] 超级线级
[00116.16-00118.80] 它主要是用于解决什么问题呢
[00118.80-00119.80] 就是人类
[00119.80-00121.60] 它在自身发展的过程中
[00121.60-00122.80] 它其实面铃很多
[00122.80-00124.12] 靠自己的努力
[00124.12-00125.76] 或者靠自己的治理
[00125.76-00127.00] 靠自己的计算能力是
[00127.00-00128.28] 哪一解决的一些问题
[00128.28-00129.12] 它总会面铃的
[00129.12-00129.92] 一般情况下
[00129.92-00132.04] 人类是面铃八大南体的
[00132.04-00133.12] 这八大南体比较说
[00133.12-00134.64] 我们常说的天区报
[00134.64-00135.56] 天区报这个东西
[00135.56-00136.80] 咱们天天晚上都看
[00136.80-00138.28] 比如说气暂班的时候
[00138.28-00139.28] 我爸在家的时候
[00139.28-00140.68] 就会嘴实大开
[00140.68-00142.16] 新聞聯絡結束了
[00142.16-00143.92] 就會打開新聯絡的那個台
[00143.92-00145.04] 就是中央一
[00145.04-00146.72] 然後就看前半的那個
[00146.72-00147.52] 天去報
[00147.52-00148.36] 當一個天去報
[00148.36-00149.36] 其實天天都會看
[00149.36-00152.16] 但是大家都知道天氣變化的狀況是
[00152.16-00153.48] 實施會發生變化的
[00153.48-00155.32] 想要精準的預測天氣
[00155.32-00156.24] 這是很難的
[00156.24-00158.80] 比如說你現在打開你手機裡面的天去報
[00158.80-00160.20] 你會發現你的天去報
[00160.20-00161.56] 可能和你身邊的人天去報
[00161.56-00163.00] 會多少有點出入
