[00000.00-00002.74] 好的 那我们接给来往下看
[00002.74-00005.58] 咱们前面给大家去讲了什么是高兴技术
[00005.58-00009.84] 以在高兴技术当中把前三项照的技术给大家去查出清楚了
[00009.84-00013.56] 接着我们再来往下看一下第五节提到的
[00013.56-00014.92] 叫做空间技术
[00014.92-00017.16] 所以我们所说的这个空间技术
[00017.16-00019.66] 它其实是特别喜欢和实政热脸
[00019.66-00020.58] 几合考察的
[00020.58-00023.18] 尤其是我们发现2021年2年2年2年3年
[00023.18-00026.14] 这三年时间当中的我们在整个空间技术
[00026.14-00028.94] 探测上其实取得了一个非常大的一个进步
[00028.94-00030.94] 可以说是一个智的飞月
[00030.94-00034.54] 所以它最能够体现中国的科技发展前演
[00034.54-00037.94] 也是当下我们解读热点解读的比较多的
[00037.94-00039.54] 所以我们就来看一下具体
[00039.54-00042.74] 它的空间技术它到底讲了些什么
[00042.74-00044.94] 我们来看一下什么叫做空间技术
[00044.94-00048.34] 它是空间技术也被称为叫做航天技术
[00048.34-00051.14] 它说是人类开发和利用空间资源
[00051.14-00054.18] 探索太空以及地球外的天体综合性的工程教
[00054.18-00055.06] 空间技术
[00055.06-00057.94] 比如说我们所说的长额碳月球的
[00057.94-00060.22] 我们所说的天问碰火星的
[00060.22-00063.14] 那他其实都是空间技术的一个体现
[00063.14-00064.14] 那么来看一下
[00064.14-00066.34] 空间技术他小完成
[00066.34-00067.70] 像的综合性的工程
[00067.70-00068.94] 他需要三个支柱
[00068.94-00070.50] 这三个支柱分别是什么呢
[00070.50-00071.86] 第一个你要把
[00071.86-00074.66] 你想要发到太空的这个卫星也好
[00074.66-00075.58] 非传也好
[00075.58-00077.10] 我们叫做神州
[00077.10-00077.46] 对吧
[00077.46-00079.42] 那你想把这些东西送出地球
[00079.42-00080.82] 你靠什么来送出地球呢
[00080.82-00081.30] 我们说了
[00081.30-00083.30] 这个东西就要做运载器
[00083.30-00085.50] 他其实本身就是一个运书系统
[00085.50-00087.22] 这是第一个叫运载器技术
[00087.22-00088.98] 有了运载气技术之后呢
[00088.98-00090.30] 第二步我们要做什么呢
[00090.30-00091.82] 我们要做好天气
[00091.82-00092.54] 也就说
[00092.54-00094.18] 你想要去太空观测
[00094.18-00096.38] 你总不会要带一些一气上去吧
[00096.38-00098.06] 那你这时候要发一气
[00098.06-00098.82] 要发人
[00098.82-00101.30] 那这个时候就睡一到就做好天气技术
[00101.30-00102.06] 第三一个呢
[00102.06-00103.58] 就是你把到发动太空之后
[00103.58-00104.74] 你不能不管他
[00105.22-00107.38] 你会说我们发神州是我好实际好
[00107.38-00109.86] 是不是还要和非纯当中的人联系呢
[00109.86-00111.38] 我们发这各种各样的卫星
[00111.38-00113.26] 是不是还要坚测卫星的动向
[00113.26-00115.14] 那这些要一口的叫做地面
[00115.14-00116.22] 撤控技术
[00116.22-00119.56] 所以在整个空间记住上有三个大的支柱
[00119.56-00120.56] 就运载器
[00120.56-00121.46] 航天气
[00121.46-00123.26] 以及地面测空技术
[00123.26-00125.52] 接下我们就来主意的来分析一下
[00125.52-00128.62] 这三个技术分别多说的是什么事
[00128.62-00131.22] 首先第一个叫做运载器技术
[00131.22-00132.16] 啥就运载器呢
[00132.16-00133.76] 书上给到一个电影
[00133.76-00135.34] 说克服地球引力
[00135.34-00138.70] 交航天气送到外层太空的运载
[00138.70-00141.00] 工具技术就叫做运载器技术
[00141.00-00141.56] 说白了
[00141.56-00143.78] 就是把地球上这个东西给它发出去
[00143.78-00146.10] 这种情况就叫做运载器
[00146.10-00148.86] 那目前航天运载器节有什么
[00148.86-00150.02] 紧有火箭
[00150.02-00152.54] 所以我们说了运载器技术也叫做什么
[00152.54-00154.26] 运载火箭技术
[00154.26-00155.70] 这里面同一们注意
[00155.70-00157.46] 第一个考虑也生出来了
[00157.46-00160.34] 那目前整个航天器只有火箭
[00160.34-00162.42] 我们就来看一下这个火箭
