[00000.00-00004.48] 那我们还用高星技术的最后一节就是其他高星技术
[00004.48-00009.28] 在这一节当中主要给大家讲一下过我们生活比较紧密的一些高科技
[00009.28-00012.28] 那我们首先来看一下第一个就是高速铁路
[00012.28-00016.20] 高速铁路呢 同标助一下 高速铁路检称高铁
[00016.20-00018.64] 这里面同时要去区费一个概念
[00018.64-00020.72] 我们经常会在新闻上看
[00020.72-00026.24] 看到记者在播报说 像我们快速使来的是高铁多少多少次列车
[00026.24-00028.48] 那這種情況就像我們要去去分
[00028.48-00029.52] 這是高鐵
[00029.52-00031.52] 它和列車和車組之間
[00031.52-00032.72] 是不是同一回事
[00032.72-00034.32] 這是我們常說的高鐵
[00034.32-00035.72] 到底是不是我們現在看到的
[00035.72-00037.36] 比如說記五六零
[00037.36-00038.80] 記五三三二
[00038.80-00040.40] 當然我不知道有沒有這個
[00040.40-00041.36] 在我邊的
[00041.36-00043.36] 是不是指的是這一輛車呢
[00043.36-00044.32] 大家要注意
[00044.32-00046.16] 我們所說的高鐵不是指的是
[00046.16-00048.40] 這一輛車或者是車組
[00048.40-00049.52] 高鐵指的是啥
[00049.52-00050.96] 來看一下蘇上打說的
[00050.96-00052.56] 所以高鐵是指
[00052.56-00054.24] 改造原有限度是
[00054.24-00057.20] 最高運用速力達到不小於沒小時200公里
[00057.20-00059.72] 或者是新建的高速新鮮
[00059.72-00061.28] 這個就叫做高鐵
[00061.28-00062.48] 所以高鐵大就一下
[00062.48-00065.28] 它不是我們看到開過來的內量車
[00065.28-00067.52] 所以高鐵不等於列車
[00067.52-00069.04] 它也不是內量車
[00069.04-00071.00] 我們所看到的車組
[00071.00-00072.40] 高鐵它是一條什麼
[00072.40-00074.96] 它是一條高速鐵路幹線
[00074.96-00076.96] 明白了它是一條高速鐵路線
[00076.96-00078.60] 它就有點像什麼概念
[00078.60-00081.36] 比如說我們在開小叫車的時候
[00081.36-00084.32] 我们就要小教车有国道有省道有相道
[00084.32-00087.32] 比如说现在我想要从几男士回到北京市
[00087.32-00089.04] 这种情况下我就要自家
[00089.04-00090.88] 我自家一般请问一下我会走什么呢
[00090.88-00094.28] 我不会走香港也会走省道 会走高速公路
[00094.28-00096.84] 这个高速公路是不只得是那一条路
[00096.84-00098.92] 其实高速体路也是这个意思
[00098.92-00102.24] 高速体路只得就是那一条体路线
[00102.24-00105.28] 所以它是在这个体路线上跑的
[00105.28-00106.44] 都叫做高铁
[00106.44-00107.12] 明白了吧
[00107.12-00109.44] 所以在这里大家第一个概念一定要明确
[00109.44-00111.68] 就是高速铁路或者我们所受的高铁
[00111.68-00113.80] 它不是我们看到的那两车
[00113.80-00115.40] 也不是看到的那个车组
[00115.40-00117.48] 它是内条铁路线
[00117.48-00118.68] 这要铁路线
[00118.68-00119.92] 它之所以称作为高铁
[00119.92-00122.64] 就是因为它实素一定要大于200公里上
[00122.64-00123.56] 只是第一个点
[00123.56-00125.40] 这个点在之前的考试
[00125.40-00126.80] 其实有考察过的
[00126.80-00127.64] 大家一定要明确
[00127.64-00128.32] 只是第一个
[00128.32-00130.28] 需要我们去知道的什么叫做高铁
[00130.28-00132.00] 第二个就是我们来看一下
[00132.00-00133.20] 我们常见的高铁
[00133.20-00134.16] 它指的是什么
[00134.16-00135.56] 都要实素标助一下
[00135.56-00139.54] 叫实素达到200公里上的CDG开头的
[00139.54-00141.72] 我们所说的和行号动车组
[00141.72-00146.44] 在跑200实素以上的高速铁牧石就叫做什么
[00146.44-00147.90] 就叫做高铁
[00147.90-00149.52] 所以在这里大家注意一下高铁的
[00149.52-00151.32] 就不是单直某一辆车
[00151.32-00152.46] 而是那条铁路线
[00152.46-00154.18] 所以在这里面大家一定要注意
[00154.18-00156.56] 就是实素200公里上的和行号
[00157.36-00160.52] 它的动车组在这条路上跑的时候就要高铁
[00160.52-00162.06] 这里面的C代表是什么呢?
[00162.06-00165.00] 大助一下这里面的CD
[00165.00-00166.64] 还有我们所说的G
[00166.64-00168.60] 大家一定要注意C代表的是
[00168.60-00169.56] 成绩
[00169.56-00171.10] 成绩高铁比如说
[00171.10-00172.12] 我出差的时候
[00172.12-00175.38] 我从亚安到四川的程度
[00175.38-00177.12] 从亚安到程度的话
[00177.12-00178.62] 我做的就是成绩高铁
[00178.62-00179.66] 早上无愿多内涂
[00179.66-00179.92] 对吧
[00179.92-00182.72] 它这个其实就是在城市城市之间
[00182.72-00184.46] 这种是有成绩高铁的
[00184.46-00186.60] 这个D就是我们常见的动车组
[00186.60-00189.24] 那G就是我们现在最常见的就是什么
[00189.24-00190.42] 高铁副星号
[00190.42-00190.76] 对吧
[00190.76-00194.28] 所以在这里面我们所说的实俗达到200公里上的
[00194.28-00198.08] 他们这几个核几号动车组在这条条路线跑的时候
[00198.08-00199.52] 这个时候它就叫做什么
[00199.52-00200.48] 就是个高铁
[00200.48-00201.84] 所以它一定要明确
[00201.84-00203.56] 这是第2个点
[00203.56-00205.48] 这里面还有一个第3个系列的点
[00205.48-00206.12] 就是在这
[00206.12-00208.88] 这是我们经常会看到在动车组也好
[00208.88-00211.56] 或者是我们所说的高速体路上
[00211.56-00212.92] 经常会看到两个号
[00212.92-00213.96] 一个叫核几号
