[00000.00-00002.82] 大家好 我是接触青年的解瑞
[00002.82-00005.88] 今天我们要进入法律知识的学习
[00005.88-00008.96] 整个法律它包括实体法也包括程序法
[00008.96-00011.52] 包括大部分法也包括小部分法
[00011.52-00014.46] 今天我们先来学习的内容就是民法当中
[00014.46-00015.62] 最重要的一个
[00015.62-00018.42] 我们所说的法律内容就是民法
[00018.42-00021.50] 我们经常在生活当中会看到各种各样的生活现象
[00021.50-00023.30] 比如说我要自己出去买个东西
[00023.30-00025.34] 这个时候我去买一篇换捲水
[00025.34-00027.38] 我要把钱给到超市的老板
[00027.38-00028.92] 超市的老板要把水交付给我
[00028.92-00032.94] 在这个过程中其实就会产生民法所调整的法律关系
[00032.94-00037.10] 甚至民法他后我们日常生活当中场见的一些社会认为现象
[00037.10-00039.86] 也会经常的挂告比如说我们经常会看到
[00039.86-00041.96] 有小孩子看这个直播
[00041.96-00044.02] 然后他就给主播去打赏
[00044.02-00045.82] 一打赏的就打赏好几十万
[00045.82-00047.72] 那这好几十万打赏出去之后
[00047.72-00049.16] 他到底能能优回来
[00049.16-00052.52] 这个其实也是在民法的调整方为之内
[00052.52-00054.96] 所以民法他其实并无莫说
[00054.96-00056.88] 他其实就在我们的生活身边
[00056.88-00058.86] 我們生活當中的各種各樣的現象
[00058.86-00062.26] 其實它很多都會受民法的調整
[00062.26-00064.02] 這時候要給大家去說的
[00064.02-00066.40] 這個民法它在指申活當中
[00066.40-00067.76] 我們比較常見
[00067.76-00069.22] 講了民法也生活
[00069.22-00070.08] 我們再來看一下
[00070.08-00071.50] 就民法這個科目
[00071.50-00075.10] 它在考試當中到底有哪些需要注意的事項呢
[00075.10-00076.00] 首先第一個
[00076.00-00077.18] 我們跳透出來民法
[00077.18-00080.24] 來看一下整個我們所說的法律科目
[00080.24-00081.44] 法律這個科目
[00081.44-00082.68] 它在考試當中
[00082.68-00083.72] 它的事物範圍
[00083.72-00085.76] 其實相對來說也是比較廣的
[00085.76-00087.44] 只要你所在的地区
[00087.44-00089.44] 他考察公共基礎知识
[00089.44-00090.52] 在考察大高当中
[00090.52-00092.24] 他明确地说了要考工机
[00092.24-00094.28] 要考我们所说的综合应用
[00094.28-00096.60] 他只要睡到这样的一些说法
[00096.60-00099.64] 那其实法律都是一个要避选的科目
[00099.64-00101.36] 所以在法律我们的
[00101.36-00102.60] 是用的考试范围
[00102.60-00105.00] 包括我们常见的世界单位考试
[00105.00-00105.48] 对吧
[00105.48-00107.28] 这个咱们经常说
[00107.28-00108.52] 都说烂了
[00108.52-00109.68] 你比如说你考
[00110.32-00111.72] 就教师类的
[00111.72-00112.12] 对吧
[00112.12-00113.56] 教师类有很多地区
[00113.56-00115.96] 他是公共技术科目单独成劲的
[00115.96-00117.18] 比如说石亚装
[00117.18-00118.68] 杀装一扰招三招
[00118.68-00120.96] 他这都是公共技术科目单独成劲的
[00120.96-00121.84] 来个很多的地区
[00121.84-00123.92] 你比如说像山楼的很多地施
[00123.92-00125.84] 他是公共技术之事和专业和制裁
[00125.84-00127.00] 放在一整据上
[00127.00-00129.16] 这里面也会设议到公积
[00129.16-00130.56] 那这种情况之下
[00130.56-00132.76] 只要设认到公积就会设议到法律
[00132.76-00134.08] 所以在法律当中
[00134.08-00135.32] 第一个他是用的
[00135.32-00137.28] 就是我们所说的设议单位考试
[00137.28-00138.88] 除了考设议单位之外
[00138.88-00141.64] 他会设议到我们所说的文质一类的考试
[00141.64-00143.60] 那在23年的年底
[00143.60-00144.92] 以及24年的年初
[00144.92-00147.32] 那可能就是文植出大公告的時候
[00147.32-00150.28] 所以它會涉及到文植的公共科目考試
[00150.28-00151.80] 甚至包括我們常說的
[00151.80-00154.32] 3G1副考試或者叫做4G
[00154.32-00156.36] 在干凬那邊會有支起
[00156.36-00158.36] 那涉及到的4G考試
[00158.36-00159.96] 甚至包括我們所說的
[00159.96-00163.00] 涉及涉及包括我們所說的
[00163.00-00165.12] 大學復到元考試等等
[00165.12-00167.12] 那你才像這樣的一類考試當中
[00167.12-00169.28] 它只要涉及到考攻擊科目的
[00169.92-00171.32] 法律都是一個要
[00171.32-00173.48] 被味了可墨 那当然国生考当中
[00173.48-00176.28] 它其实也会考乱考察到法律之时
[00176.28-00178.52] 所以这是第一个它的生范围
[00178.52-00181.64] 那第二个呢 就是我们知道法律它其实能够
[00181.64-00185.08] 徐瓦拉之后能够用到的考试的范围还是比较广的
[00185.08-00187.88] 那第二个我们就来看一下在这些考试当中
[00187.88-00190.52] 我们所说的法律到底怎么考
[00190.52-00192.68] 整个法律在考察过程当中
[00192.68-00195.48] 其实一般情况下也只有两个角度
[00195.48-00197.96] 第一个呢也是在考试当中最常见的
[00197.96-00200.36] 就是考察法律它的一个应用
[00200.36-00206.50] 这个应用呢一般情况之下就是结合按例来考察相用的理解性的题目
[00206.50-00208.36] 比如说他经常会给你 对吧
[00208.36-00211.36] 一个人他被开除了但是他拿着公司的
[00211.36-00215.72] 已经前公司已经该了张的合同然后又去跟绿下公司去前面合同
[00215.72-00218.54] 然后问说他实施的这个行为
[00218.54-00224.42] 在法律上或者在民法的调整上是有效的无效的可撤销的还是销里代定的呢
[00224.42-00227.44] 所以在这里你看他给到了这一系列的选项
[00227.44-00230.06] 其实就是考察相内一个法条的应用
[00230.06-00232.78] 所以在考察当中也是最常间的一种
[00232.78-00235.66] 就是考察他的一个应用这个点代表注意
[00235.66-00238.10] 那第二个呢就是在迷法当中
[00238.10-00241.90] 他比较常间的另一种考察方式呢就是简单的被送
[00241.90-00243.38] 这个简单的被送啊
[00243.38-00245.18] 他就是纯粹的原本了
[00245.18-00247.98] 他和我们所说的之前的什么马云呢
[00247.98-00248.94] 什么经济啊
[00248.94-00250.78] 那里面也会睡到一些被送
[00250.78-00252.74] 但那里面的被送只是呢
[00252.74-00253.58] 一般情况之下
[00253.58-00254.86] 他不太会考员文
[00254.86-00255.90] 但是
[00256.14-00256.94] 大注意下
[00256.94-00259.18] 在整个法律被送知识的时候
[00259.18-00261.42] 它就是原来的背宿
[00261.42-00264.98] 因为法条它不可能在这里面给你胡编了万总
[00264.98-00268.38] 所以在这里无论是考察判断体还是单体
[00268.38-00271.58] 考察单纯的背宿的科目提目
[00271.58-00274.86] 其实相对来说在考试当中也是比较常见的
[00274.86-00278.98] 所以在整个考察方式上它就只有这两个初提的角度
[00278.98-00281.18] 但是哪一个考察的相对来说多一些呢
[00281.18-00284.42] 那一定是应用方面的体会多一些
[00284.42-00287.46] 在这里面我需要纠正同学们一个认知的点
[00287.46-00288.62] 这是有同学说
[00288.62-00290.94] 我可能在后面去讲的时候有同学
[00290.94-00292.78] 他是学法律专业的
[00292.78-00294.30] 或者他参加过法考
[00294.30-00295.70] 或者说他是非法律专业
[00295.70-00297.90] 但是他参加了法说的考试
[00297.90-00299.94] 大家都知道法说他考非法学吗
[00299.94-00301.66] 那这里面可能就会出现一些
[00301.66-00303.06] 相劳论的地方
[00303.06-00304.46] 第一个地方就在于
[00304.46-00306.34] 我们这个世界单位考试
[00306.34-00308.78] 文质考试社区社会公佛道原等等
[00308.78-00311.62] 他其实撤重的是考察法律的灭
[00311.62-00314.06] 而不是撤重考察他的深度
[00314.06-00316.10] 所以在这里面大家注意一下
[00316.10-00318.34] 我们现在要给大家讲的这个
[00318.34-00321.34] 它可法考和反说都不一样
[00321.34-00323.86] 因为它比他们两个一定要钱
[00323.86-00326.06] 法可可法说它要是选拔的是
[00326.06-00327.58] 专业性的人才因为你以后
[00327.58-00329.18] 可能要从事这方面的工作
[00329.18-00330.10] 但大家都知道
[00330.10-00331.46] 像是一单位考试
[00331.46-00332.66] 文质一类的考试
[00332.66-00334.02] 我说了不是专业客
[00334.02-00336.30] 我说的是文质当中的公共科目
[00336.30-00338.10] 那这个时候大家想一下
[00338.10-00341.58] 法律和非法加在一块十几二十几个科目
[00341.58-00343.54] 他要考察重申的深度的话
[00343.54-00345.10] 流规我们的被考试间
[00345.10-00348.98] 不夠 所以在我們所給大家去講解的
[00348.98-00351.66] 這類考試當中 他更加特重的是考察他的什麼
[00351.66-00352.86] 考察他的妙
[00352.86-00355.66] 那如果你是法考過來了 或者你是法社過來的
[00355.66-00358.42] 那麼OK 那這些東西對你來說都比較簡單
[00358.42-00361.46] 但如果我們一點法律這是儲備都沒有的話
[00361.46-00364.62] 那這裡面大家一定要記得在聽的過程當中
[00364.62-00365.94] 我講到什麼樣的程度
[00365.94-00368.46] 也就是他考試 差不多就考在這了
[00368.46-00371.26] 所以在這裡大家不用過分究竟說到是一書講的
[00371.26-00372.90] 你講的也太淺了
[00372.90-00374.22] 或專業科學的不一樣
[00374.22-00376.62] 用門考試在要求當中
[00376.62-00379.54] 不需要大家去掌握的想法考和反射這麼深
[00379.54-00380.50] 這是第一個點
[00380.50-00382.14] 第二點就是在這裡
[00382.14-00384.50] 我要提醒一下法考的小伙伴
[00384.50-00386.22] 我們在整個
[00386.22-00389.02] 是一旦內文質三質四質等等
[00389.02-00391.02] 考試所涉及到的法律
[00391.02-00392.70] 趴和大家所參加的法考
[00392.70-00394.26] 可能會稍微得有點不同
[00394.26-00395.46] 這個不同在哪呢
[00395.46-00396.66] 這個不同的科目
[00396.66-00399.14] 其實就是在於形法這個科目上
[00399.14-00404.38] 在整个法考当中形法考得主要是两阶从对吧
[00404.38-00406.70] 而在整个我们所说的施单位
[00406.70-00409.34] 考试他更加轻像的是什么是思要件
[00409.34-00411.62] 所以在这里面大家去做体的时候
[00411.62-00413.14] 可能就是说一旦说老师
[00413.14-00415.14] 我在法考的时候考为这个题目了
[00415.14-00417.26] 怎么和咱们这个地方不太一样
[00417.26-00418.98] 那这个时候你就想一想
[00418.98-00421.22] 的脑子当中是不是装了两个系统
[00421.22-00423.30] 法考撤重的是应用对吧
[00423.30-00425.38] 是相对而说比较新的两阶从
[00425.38-00427.38] 而在这里面考的是思要件
[00427.38-00435.16] 主观,客观,客观方面主观主观方面,一共是四个,然后我们再去一个个王里对。
[00435.16-00455.48] 所以他在这个地方会一些差异,所以同时在这两个地方去,如果你设议到,在这个地方有你是学法律专业支持的,或者在这里参加个法考法说的,一定要在你原有的支持储备上,更加贴借我们在施丹位考试,或者是在这一个类型考试里面,他对法律的有时要求,好吧。
[00455.48-00457.72] 所以在这里面我再讲解的时候
[00457.72-00460.36] 个别的地方的深度不会挖的那么深
[00460.36-00463.40] 所以在这里面大家先明确一下这个点
[00463.80-00465.92] 所以这是要给大家去介绍的
[00465.92-00467.88] 它的一个考察的方式
[00467.88-00469.80] 那了解了这个考察方式之后
[00469.80-00471.64] 我们来看一下那小学好法律
[00471.64-00472.72] 我应该怎么办呢
[00472.72-00473.92] 这在学法律的时候
[00473.92-00475.88] 尤其是在学民法的时候
[00475.88-00477.76] 它其实又自己的学习方法
[00477.76-00479.48] 尤其是在民法这个地方
[00479.48-00481.52] 我建议同们在学民法的时候
[00481.52-00483.64] 不要去哭造的去被法条
[00483.64-00486.46] 承然它會考察一些避送的一些科目
[00486.46-00487.72] 但在這個地方
[00487.72-00489.78] 如果只是純粹的背法條的話
[00489.78-00491.20] 就會陷入到一個部曲
[00491.20-00492.22] 因為法條
[00492.22-00494.14] 比如說你現在拿出民法點來看
[00494.14-00495.16] 對吧一千多條
[00495.16-00496.90] 但是和民法點相對應的對於
[00496.90-00498.36] 單寶支持的相當
[00498.36-00500.28] 它可能還有單寶解釋
[00500.28-00501.94] 那你如果只是單純的背法條
[00501.94-00504.38] 其實不足以應對我們在考試當中的需要
[00504.38-00506.28] 或者是它沒有辦法全面的
[00506.28-00507.96] 去蓋擴住這個支持點
[00507.96-00508.86] 那這樣的話
[00508.86-00509.76] 我們應該怎麼辦呢
[00509.76-00510.78] 我們要盡量的
[00510.78-00512.26] 在民法的學習當中
[00512.26-00513.22] 第一個要做到
[00513.22-00514.70] 就是按立具体换
[00517.14-00519.38] 因为民法里我们身边不远
[00519.38-00520.42] 我所举的例子
[00520.42-00522.34] 可能就是大家在网上看到的一些
[00522.34-00525.14] 先活的按立或者就是发生在我们身边的
[00525.14-00527.94] 所以我们去用按立去学习民法
[00527.94-00529.38] 相对来说效果会比较好
[00529.38-00531.18] 你要有一个这样的情景带入
[00531.18-00532.94] 当你把按立充分理解了
[00532.94-00533.70] 那么这个点
[00533.70-00535.42] 他再去考理解行题目的时候
[00535.42-00537.06] 那他不会被法条
[00537.06-00539.70] 根据你的现有的认知城市
[00539.70-00541.46] 其实你也能够给他推出来
[00541.46-00543.78] 所以我们经常在考试的时候会大家去说
[00543.78-00544.54] 说什么呢
[00544.54-00546.22] 说民法这个科末
[00546.22-00548.50] 你想打灵夫其实不太可能的
