[00000.00-00002.00] 好的 那我们了解了
[00002.00-00003.00] 自然人的名式
[00003.00-00004.00] 全力能力和名式
[00004.00-00005.00] 行为能力之后
[00005.00-00006.00] 我们来看一下
[00006.00-00008.00] 第三个点 就是和自然有关的
[00008.00-00009.00] 兼顧
[00009.00-00011.00] 那其实说到兼顧在日常生活当中
[00011.00-00012.00] 也很常见
[00012.00-00013.00] 对吧 当我们小的时候
[00013.00-00015.00] 办法慢慢又经常看着我们
[00015.00-00017.00] 然后如果我们去又是原的话
[00017.00-00019.00] 那学校的老师要看着我们
[00019.00-00020.00] 所以在这个过程当中
[00020.00-00021.00] 在康户的日过程当中
[00021.00-00022.00] 其实
[00022.00-00024.00] 它的一个在法律上的
[00024.00-00025.00] 另外一个跟为丰富
[00025.00-00027.00] 或者跟为专业的一个简式
[00027.00-00028.00] 其实就叫做兼顧
[00028.00-00030.00] 我们来看一下兼护的定义
[00030.00-00032.00] 他说兼护是对未成年人
[00032.00-00034.00] 我们说了未成年人是年半
[00034.00-00035.00] 未满18周岁
[00035.00-00036.00] 对吧
[00036.00-00037.00] 18到18周岁
[00037.00-00038.00] 这个期间
[00038.00-00039.00] 或者是8岁一下
[00039.00-00040.00] 那在这里
[00040.00-00042.00] 他说了是对未成年人和承联人
[00042.00-00044.00] 5名是行为能力人
[00044.00-00045.00] 或限制明是行为人
[00045.00-00046.00] 能力人设定的
[00046.00-00048.00] 专人保护其利益
[00048.00-00050.00] 监督行为管理器财产的法律制度
[00050.00-00052.00] 这个就叫做兼护
[00052.00-00054.00] 总体来说的兼护的概念
[00054.00-00055.00] 可好性病不强
[00055.00-00056.28] 他打扰的就是
[00056.28-00059.10] 那我们在整个在日常生活中
[00059.10-00061.14] 或许一当日总会提到兼护
[00061.14-00063.96] 那兼护的类型到底有哪些
[00063.96-00065.24] 这些类型之下
[00065.24-00067.80] 兼护人物和确定这个才是考试的
[00067.80-00070.10] 重点所以我们来看一下
[00070.10-00072.92] 往后他给到的兼护的具体的种类
[00072.92-00077.02] 大家都知道我们对于兼护他的一个整体上的分类
[00077.02-00080.34] 其实在整个理论议上或者是在法律规定上
[00080.34-00082.64] 他以后是有六大类兼护
[00082.64-00085.60] 第一了一件户其實就是我們所說的在這裡
[00085.60-00088.24] 我們注意一下它是法定監護
[00088.24-00089.76] 什麼叫做法定監護呢
[00089.76-00092.08] 法定監護就是不需要接護人之間商量
[00092.08-00094.00] 它只有法律直接規定的
[00094.00-00095.32] 你看它在這裡說了
[00095.32-00098.12] 說法定監護是法律直接規定
[00098.12-00101.36] 監護人範圍和社區的這種監護形式
[00101.36-00102.80] 這個就叫做法定監護
[00102.80-00103.92] 只法律直接規定
[00103.92-00105.72] 你到第一順序監護人是誰
[00105.72-00107.36] 你的第二順序監護人是誰
[00107.36-00110.40] 在這裡是我們所說的這個法定監護
[00110.40-00116.40] 反正兼户的重点需要大家掌握的是在这,我们标助一下是卫城年人的法定兼户社区
[00116.40-00120.40] 卫城年人的法定兼户社区同们换一下第一顺位是什么?
[00120.40-00126.90] 第一顺位是我们所说的父母,只要父母在其他人都不能作为兼户人
[00126.90-00131.40] 所以在父母做一兼户上,大家注意一下会有这么几个考察的点
[00131.40-00137.40] 首先第一个大家要知道,父母做一兼顺序的兼户人,那他的兼户的顺位
[00137.40-00142.00] 大助一下 这时候是法定的 就是只要父母在父母就是监户人
[00142.00-00143.56] 只对于未成年人来说
[00143.56-00147.72] 如果说这个时候 像电视剧里经常演的 对吧 那爸爸妈妈
[00147.72-00149.20] 离婚了 离婚了之后
[00149.20-00151.72] 然后这个时候 这是好门的洞争嘛
[00151.72-00153.00] 对吧 咱们进行来问看到
[00153.00-00156.92] 是那个父母离婚了 然后这个小朋友就跟着这个妈妈生活
[00156.92-00160.20] 然后这个小朋友的眼奶来就是说 这个孩子是我们家的
[00160.20-00162.12] 我们一点把这个孩子领回去怎么样
[00162.12-00163.72] 和他往上去争这个孩子
[00163.72-00165.76] 那如果从法律上来看的话
[00165.76-00169.86] 这个小孩的爷爷奶奶和妈妈去争孩子
[00169.86-00171.26] 谁能争的样子
[00171.26-00173.06] 只能是妈妈能争的样子
[00173.06-00176.52] 因为我们说了在法律规定上从兼互的事本来看
[00176.52-00180.48] 只要父母在其他的兼互人都要靠边儿站
[00180.48-00181.22] 明白了吧
[00181.22-00182.92] 所以在这里它说未成年人的
[00182.92-00185.48] 法定兼互人的第一设备就是父母
[00185.48-00188.32] 只要一方在其他人都不行
