[00000.00-00004.08] 那我們就要開啟一個新的支持某塊的學習了
[00004.08-00007.08] 那我們來做一個簡單的紅觀框架的回顧
[00007.08-00009.60] 我們在今天前眼當中給大家去講了
[00009.60-00011.60] 說我們國家是受不主義國家
[00011.60-00014.84] 但這個社會主義是考慮到中國實際情況的
[00014.84-00018.56] 所以我們把它命運沒叫做中國特色社會主義
[00018.56-00020.16] 我說了中國特色社會主義
[00020.16-00023.08] 它是一套比較完整的理論體系
[00023.08-00026.80] 所以我們在中國特色社會主義當中講了它所包含的內容
[00026.80-00028.92] 我们讲了中国特色社会主义
[00028.92-00029.88] 给亡哪里走
[00029.88-00030.88] 我们讲了道路
[00030.88-00032.44] 我们说想要走好
[00032.44-00034.12] 我们当下的社会主义道路
[00034.12-00036.16] 我们要哪些理论体系来指导
[00036.16-00038.28] 与是我们又讲了理论体系
[00038.28-00039.72] 那有了理论体系之后
[00039.72-00042.00] 如何规范社会主义的发展
[00042.00-00044.04] 这里有讲了社会主义的制度
[00044.04-00046.08] 那么说了光有制度的有点声音
[00046.08-00048.28] 我们不得不在今天谈谈
[00048.28-00050.36] 我们国家的文化建设问题
[00050.36-00051.24] 所以在这里
[00051.24-00054.40] 我们又讲到了中国特色社会主义文化
[00054.40-00055.12] 所以我们说了
[00055.12-00056.76] 像一个创业团队一样
[00056.76-00058.40] 有了方向叫道路
[00058.40-00060.20] 有了政策理论叫理念
[00060.20-00061.72] 当然对于一个企业发展来说
[00061.72-00063.96] 就要谈制度要谈企业文化
[00063.96-00064.20] 对吧
[00064.20-00066.20] 所以它是这样的一个内在关系
[00066.20-00068.44] 所以我们就把整个社会主义的内涵
[00068.44-00069.48] 最大说完了
[00069.48-00070.84] 那同时都为大家讲了
[00070.84-00073.24] 我们要在整个社会主义的内涵当中
[00073.24-00074.48] 去给大家去讲解
[00074.48-00077.00] 中国特色社会主义理论体系
[00077.00-00079.40] 它包括四个方面的内容
[00079.40-00081.12] 包括灯 灯 灯
[00081.12-00083.04] 和我们今天要讲的什么
[00083.04-00084.00] 心思想
[00084.00-00086.82] 所以我们前面讲了灯三科都完事了
[00086.82-00090.36] 那今天我们就要正式进入了新思想的学习
[00090.36-00092.76] 那学习新思想之前我们把它称为
[00092.76-00095.36] 叫新时代中国特色受主思想
[00095.36-00096.50] 因为要讲课
[00096.50-00098.10] 咱们就给它进入了所解
[00098.10-00099.32] 我们就叫做新思想
[00099.32-00100.40] 大家也能够知道
[00101.00-00102.74] 那有关于新思想的内容
[00102.74-00103.70] 想要学好它
[00103.70-00107.62] 其实我们也要有一个非常明确的框架
[00107.62-00110.70] 我们来看一下有关于新思想的这一部分的内容
[00110.70-00112.64] 它的理论框架是什么样子的
[00112.64-00117.12] 其实整个西思想我们可以从人为上给它花分出来两个部分
[00117.12-00121.16] 一个叫西思想的总论 一个叫西思想的分论
[00121.16-00123.12] 西思想的总论要去谈什么呢
[00123.12-00126.96] 首先第一个我们要谈一谈 为什么这个西思想会提出
[00126.96-00128.76] 我们在这里要给大家去讲一讲
[00128.76-00130.76] 西思想它提出来的背景
[00130.76-00133.76] 我们把它称着一叫做中国特色数据
[00133.76-00135.04] 一进入到了西时代
[00135.04-00138.80] 因为新的时代发生了变化 新的时代要求也会不同
[00138.80-00142.90] 所以就要有不同的政策理念来职应国家的发展
[00142.90-00147.20] 所以我们先来看新思想提出的背景叫做新时代
[00147.20-00148.20] 这是第一个点
[00148.20-00151.86] 第二个点就是要在总论当中我们要从红官上去看一下
[00151.86-00154.90] 新的时代呼类新的思想产生
[00154.90-00156.46] 那我们要给大家讲的新思想
[00156.46-00158.90] 它到底包括哪些内容呢
[00158.90-00161.32] 我们要来聊一聊新思想的什么
[00161.32-00164.60] 在这里要给大家去聊一聊新思想的科学体系
[00164.60-00166.40] 是从红官上去看
[00166.40-00167.60] 它包括哪些内容
[00167.60-00169.46] 除了了它的科学体系之外
[00169.46-00170.64] 我们还要来看一看
[00170.64-00171.60] 这个西思想
[00171.60-00173.16] 它到底有什么样的地位
[00173.16-00176.10] 所以在我们总论当中的第二节里面
[00176.10-00178.26] 要给大家去讲西思想的科学体系
[00178.26-00179.70] 以它的历史地位
[00179.70-00182.92] 这个是从总论当中去看它的背景
[00182.92-00185.00] 以及西思想它到底是什么
[00185.00-00185.80] 那么说了
[00185.80-00188.34] 西思想其实是在科学体系当中
[00188.34-00189.22] 给我们提到了
[00189.22-00192.26] 我们下一个阶段国家要完成什么样的历史使命
[00192.26-00193.78] 我们如何去完成它
[00193.78-00195.38] 除了要了解总论之外
[00195.38-00196.88] 我们接下来看一看分论
[00196.88-00199.24] 就是我们要逐个拆开去看一看
[00199.24-00202.26] 在整个西思想科学体系当中所提到的
[00202.26-00204.44] 威体四个全面
[00204.44-00208.08] 以及所提到的实现中华民族委大夫性的重要保障
[00208.08-00209.76] 它到底是什么样
[00209.76-00214.84] 威体大都知道是经济政治文化社会生态
[00214.84-00215.32] 对吧
[00215.32-00217.52] 那建设美丽中国就是生态建设了
[00217.52-00218.48] 这是威体
[00218.48-00221.56] 那四个全面现在是新的话国家
[00221.56-00222.92] 全面深化改革
[00222.92-00225.16] 全面依法之国以及全面从来知道
[00225.16-00231.30] 这两个部分其实都是为我们整个中华民族伟大富萨实现这个目标
[00231.56-00235.66] 保家富航的具体措施对吧所以我们也经常听到威体思格全面
[00235.92-00239.24] 我们在分论当中会展开讲他具体包含的内容哪些
[00239.50-00242.56] 但是我们要知道除了有这些措施之外我们也要明确
[00242.82-00246.16] 实现中华民族的伟大富萨他一定要有一系列的保障
[00246.42-00247.94] 这个保障就包括
[00248.70-00250.50] 国防和讯队先的话建设
[00250.76-00251.78] 包括祖国投一
[00252.04-00254.10] 这个是实现中华民族伟大富萨
[00254.10-00257.08] 以及国家发展的内部条件
[00257.08-00257.50] 对吧
[00257.50-00258.66] 那我们说了国家发展
[00258.66-00260.02] 不仅要一口内部
[00260.02-00261.42] 中国是世界当中
[00261.42-00262.50] 不可获缺的一部分
[00262.50-00264.18] 中国的发展也离不开
[00264.18-00264.82] 世界
[00264.82-00265.82] 那了外了内部
[00265.82-00266.66] 咱们再看一看
[00266.66-00269.62] 实现中文化民族为大夫性的外部保障有哪些呢
[00269.62-00271.74] 我们就来看一看中国特色的什么
[00271.74-00272.74] 大国外交
[00272.74-00274.38] 所以这个框架体系
[00274.38-00277.58] 对于我们系统的去掌握整个心思想
[00277.58-00279.46] 它有一个非常大的一个作用
