[00000.00-00003.76] 好 那我们通过前面的讲点就把
[00003.76-00008.44] 在那明是全力能力 明是行为能力以及它的监户说完了
[00008.44-00011.52] 通过我刚才莫不及其的讲点给大家重复了和几遍
[00011.52-00015.00] 大家应该能够在客旁当中 当堂就把刚才所说的
[00015.00-00016.44] 这些那种消化吸收好 对吧
[00016.44-00019.16] 我建议头屈们就是你每天万一小节
[00019.16-00021.76] 我把这个支援都给大家切的一块块了 对吧
[00021.76-00023.00] 你每天万一小节
[00023.00-00025.36] 你可以先暂时稍微暂停一下
[00025.36-00026.68] 自己拿笔啊
[00026.68-00029.24] 在自己的本子上也好讲一声以后
[00029.24-00030.64] 画一画它的框架
[00030.64-00032.84] 甚至你刚才还有记得那个点
[00032.84-00035.44] 自己把框架和我刚才提到的要点画出来
[00035.44-00037.44] 最后形成自己的思维导徒
[00037.44-00039.80] 你这样的话印象一定会非常深刻
[00039.80-00041.60] 法律这个东西它本质上
[00041.60-00042.32] 你说它难吗
[00042.32-00043.00] 它确实难
[00043.00-00045.80] 对外因为它是一个不断丰富和晚上的这个雪颗
[00045.80-00048.00] 但是我说了我们在考试一单位
[00048.00-00049.72] 文指当中的公共科目等等
[00049.72-00051.52] 是一道公记当中法律部分的话
[00051.52-00052.84] 它不会考得那么难
[00052.84-00054.60] 所以能够既然给大家点到的一点
[00054.60-00055.72] 都会给大家去点到
[00055.72-00059.00] 所以同学们一定要在客下的时候每一小节暂停之后
[00059.00-00062.52] 你要能够用笔去自己坏下它的思维导圖
[00062.52-00063.92] 以及他们之间的关系
[00063.92-00066.48] 当你自己能够一点一点旅身出来了
[00066.48-00067.56] 同学们你相信我
[00067.56-00068.36] 这个支持点
[00068.36-00069.56] 你一定是掌握了
[00069.56-00071.96] 你甚至都可以自己去给他们讲出来
[00071.96-00074.92] 那你在考试当中就一定没有问题了
[00074.92-00075.68] 好
[00075.68-00077.72] 这是我们所说的前面的内容
[00077.72-00079.28] 我们讲了前四个内容之后
[00079.28-00081.20] 我们来看一下第四个问题
[00081.20-00083.76] 这是宣告失踪和宣告失望
[00083.76-00085.40] 唯一逾碰到这种
[00085.40-00088.34] 平常車放在一塊的我自己的舌頭就處理不好
[00088.34-00089.52] 那麼來看一下
[00089.52-00092.74] 這裡面的宣告失蹤和宣告死亡到底是怎麼回事呢
[00092.74-00094.16] 這個宣告失蹤啊
[00094.16-00095.94] 它其實一般請來還會出現在
[00095.94-00099.18] 我說了這個人突然之間下輪不明找不見他人在那了
[00099.18-00102.18] 那時間達到一定的法律期限的時候
[00102.18-00103.94] 我們就可以去相反越宣告失蹤
[00103.94-00105.18] 它即不要常見啊
[00105.18-00107.08] 如果我們說的如果誇張一點的話
[00107.08-00110.22] 其實是在五箱巨導盟經常能看到這樣的橋段
[00110.22-00114.66] 你比如說以前台灣的中國台灣的這些五箱巨
[00114.66-00116.90] 我们提到的是什么王子变清拉
[00116.90-00119.94] 总有那些霸道总裁的男主
[00119.94-00121.58] 找到有帅家里有钱
[00121.58-00125.78] 还有一个和他身体加持都非常匹配的微魂期
[00125.78-00128.34] 然后这个时候就会突然出现一个天真烂漫
[00128.34-00129.74] 活潑可爱的这样女主
[00129.74-00131.14] 然後兩人不充意之間
[00131.14-00133.10] 就為擦出什麼樣的故事
[00133.10-00134.54] 然後在這些挑段
[00134.54-00135.82] 那種一定會有這樣一個挑段
[00135.82-00136.82] 就是這個男主
[00136.82-00138.70] 因為他太冷哭太無情了
[00138.70-00140.18] 所以他一定會得著一些人
[00140.18-00141.30] 這些人就要收集他
[00141.30-00143.30] 所以就男主能讓我們就是被撤狀了
[00143.30-00145.50] 而讓我們就是被人逼了跳下燒牙了
[00145.50-00146.34] 反正無論怎樣
[00146.34-00147.90] 最終都會被女主死救
[00147.90-00150.14] 偶像記得外用套路被救了之後砸的
[00150.14-00151.78] 沒那麼之後就失意了嗎
[00151.78-00154.50] 所以呢就和女主快樂的生活再一化
[00154.50-00155.74] 那這種情況之下
