[00000.00-00002.52] 我们接着来往下看
[00002.52-00007.72] 前面在讲的时候我们说明法的调整对象
[00007.72-00012.16] 大家还记得如果记得的话大家可以在弹幕当中给他打出来
[00012.16-00013.76] 明法的调整对象
[00013.76-00017.16] 咱们这些说了叫做明式法律关系
[00017.16-00020.16] 然后我们在讲明式法律关系的时候
[00020.16-00021.36] 我们说了明式法律关系
[00021.36-00022.76] 它不是一个单一的概念
[00022.76-00024.76] 而是包含三个方面的内容
[00024.76-00026.36] 那这三个方面的内容
[00026.36-00030.00] 分別就是第一個我們要有迷失法律的主體
[00030.00-00032.20] 主體就是自然人法人
[00032.20-00034.04] 對吧和其他一些組織
[00034.04-00035.64] 除了有主體之外我們說了
[00035.64-00038.56] 民法調整的關係其實是主體之間的
[00038.56-00040.12] 權利和義務關係
[00040.12-00043.08] 所以我們在這裡又講到了權利和義務
[00043.08-00044.44] 我們說了權利和義務
[00044.44-00046.32] 它其實本質上是我們所說的
[00046.32-00048.36] 有關於迷失法律關係
[00048.36-00050.12] 它的一個內容
[00050.12-00051.88] 所以在內容當中我們說了
[00051.88-00053.08] 它是權利
[00053.08-00055.24] 也包括我們所說的義務
[00055.24-00060.62] 同時我們說全力無所指向對象叫明時法律關係的課題
[00060.62-00063.94] 所以課題有很多包括我們所說的物
[00063.94-00067.28] 行為還包括權利等等這些力的
[00067.28-00070.60] 這個都是我們所說的叫做明時法律關係
[00070.60-00074.18] 這個主要是在講我們前面所講的一些力都是在講
[00074.18-00077.00] 明時法律關係到底是什麼問題
[00077.00-00079.04] 但是問題沒有解決完
[00079.04-00080.84] 我們知道明時法律關係是什麼
[00080.84-00082.60] 我们不仅要发出一个疑问
[00082.60-00086.96] 就是到底是什么原因会引起民事法律关系呢
[00086.96-00089.24] 就是到底发生了一件什么样的事
[00089.24-00092.08] 它才让主体之间产生了全力武关系
[00092.08-00094.76] 所以在这里我们要往回回诉去看
[00094.76-00097.28] 到底是什么引起了
[00098.28-00100.56] 我们所说的这个 民事法律关系
[00100.56-00103.12] 而引起民事法律关系的内容
[00103.12-00104.64] 我们其实把它称之为
[00104.64-00107.76] 叫做民事法律事实
[00107.76-00111.76] 叫做民事法律事實
[00111.76-00114.26] 我说的是發生了一件什麼樣的事
[00114.26-00115.76] 或做了一件什麼樣的事
[00115.76-00116.76] 才會引起了民事法律關係
[00116.76-00120.76] 而這個能夠引起民事法律關係的情況
[00120.76-00123.76] 我們把的稱為叫做民事法律事實
[00123.76-00127.76] 而這個民事法律事實在整個花紛上花紛為兩種
[00127.76-00129.76] 一種能夠引起權力無關系的
[00129.76-00131.76] 就是你做了一件事
[00131.76-00133.76] 這個時候就一定會有相應的行為
[00133.76-00134.76] 對吧
[00134.76-00137.52] 就是发生了一件我控制不了的事情
[00137.52-00139.84] 从而引起了民事法律官系
[00139.84-00141.04] 引起了权力无关系
[00141.04-00143.16] 我们就把这个叫做事件
