[00000.00-00006.36] 我们还剩第一章的最后一节就叫做诉讼实效
[00006.36-00008.52] 苏职实效它什么意思呢?
[00008.52-00010.60] 咱们其实在前面给大家说过
[00010.60-00013.88] 无说了法律,它不可能无限期的保护你
[00013.88-00015.36] 有一些权利的形式
[00015.36-00018.20] 它其实会受到一定时间的限制
[00018.20-00023.72] 比如说像我们常说的责任,比如说买卖合同制在等等这些利的权利的形式
[00023.72-00026.20] 它就会受到苏职实效的限制
[00026.20-00029.52] 我们在这儿来看一下到底什么是诉讼实效
[00029.52-00034.84] 而诉讼实效它是用在哪些范围当中以及诉讼实效的时间到底是怎么样的
[00034.84-00038.92] 这个诉讼实效在咱们的整个公共基础知识考试当中
[00038.92-00043.04] 它一般情况之下偏向我们所说的实际性的题目
[00043.04-00043.80] 会更多
[00043.80-00047.44] 它不像我们所提到的第四节第三节第2节
[00047.44-00051.64] 它可能大部分好的都是理解性的题目和一些细节理解点的变息
[00051.64-00053.44] 这个地方是被送的那种
[00053.44-00055.24] 会相对来说比较多一些
[00055.24-00058.04] 那么来看一下有关疏痛实效的他的一个概念
[00058.04-00059.84] 他什么是疏痛实效呢
[00059.84-00061.44] 他疏痛实效是指
[00061.44-00064.44] 权利人在法定期限内不行实请求权
[00064.44-00066.64] 那依法丧失
[00066.64-00069.64] 疏痛程序强制一物人旅行
[00069.64-00071.44] 意误的权利的法律制度
[00071.44-00073.44] 那翻过来其实疏痛实效就说
[00073.44-00075.44] 如果现在有一个债
[00075.44-00077.84] 然后我问你接了一万块钱
[00077.84-00078.64] 举个简单例子
[00078.64-00082.04] 假设我现在问你借款
[00082.04-00085.52] 那我朝你借了什么呢?我朝你借了一万元
[00085.52-00087.16] 那我朝你借了一万块钱
[00087.16-00091.92] 然后我们在这个合同当中约定时间一年还快
[00091.92-00094.76] 那我们也没有在合同当中明确一点要不要复理息
[00094.76-00097.40] 那根据我们所说的借款合同来看的话
[00097.40-00100.28] 说方当时没有约定的一些视为无利息
[00100.28-00104.40] 那这个时候当你把钱给到我的时候借款合同成立
[00105.32-00106.76] 借款合同成立
[00106.76-00109.96] 那借款合同成立有效变生效
[00109.96-00111.36] 那在这个过程当中 说了
[00111.36-00112.36] 哪一天借的呢
[00112.56-00114.68] 2023年的10月11号
[00114.80-00116.44] 那如果是一年到期的话
[00116.44-00117.08] 投入来看
[00117.08-00121.80] 一年到期我的还款期应该是在2024年的10月11号
[00121.96-00126.04] 但现在已经到了2024年的12月13号了
[00126.28-00127.12] 那这个时候
[00127.12-00129.04] 你看 是未已经超过了还款期限
[00129.16-00130.44] 我依旧没有换钱
[00130.44-00132.04] 你这个时候的第一反是什么
[00132.16-00134.00] 说哇 这个老师好不要脸了
[00134.00-00135.60] 对了 我拿他当朋友接他钱
[00135.60-00136.88] 他既然想当罗来
[00136.88-00138.00] 然后不怕切换给你
[00138.20-00139.56] 那这种情况之下你看
[00139.56-00140.60] 马上就到年底了
[00140.60-00142.00] 地主家都没有遇了了
[00142.00-00143.60] 你是不是想让我把钱还给你
[00143.60-00144.52] 那在这种情况之下
[00144.52-00145.76] 你就会打电话
[00145.76-00146.88] 或者是给我发消息
[00146.88-00148.08] 你发现电话没人接
[00148.08-00149.92] 消息外给你拉黑了
[00149.92-00151.16] 然后你的想让我还你钱
[00151.16-00152.28] 但是我没有还
[00152.28-00153.36] 于是你就可以上法
[00153.36-00154.20] 愿怎么样
[00154.20-00155.12] 起诉我
[00155.12-00156.20] 那像反应起诉
[00156.20-00157.48] 那像反应起诉我
[00157.48-00160.08] 这个时候诉讼实际上就会发生效力
[00160.08-00161.80] 如果大家这下一般请来
[00161.80-00163.12] 诉讼实际上的时尝试
[00163.12-00163.80] 三年
[00163.80-00164.84] 因此是你看
[00164.84-00166.20] 自我们所说的
[00166.20-00168.16] 旅行七线接满之企业
[00168.16-00169.36] 加上三年
[00169.36-00173.08] 也就是到了2027年的10月11号
[00173.08-00175.32] 因为在这个时间三连当中
[00175.32-00178.00] 也就是超过了2017年的10月11号
[00178.00-00181.52] 到了2017年的10月12号
[00181.52-00182.84] 如果这一天的话
[00182.84-00184.92] 你再向法院起诉法院保护你了
[00184.92-00185.84] 都保护你了
[00185.84-00188.48] 如果你是在2017年的10月11号
[00188.48-00189.96] 之前的任意一天
[00189.96-00190.92] 向法院起诉
[00190.92-00192.84] 比如说在24年12月13号
[00192.84-00194.24] 你实在联系不上我了
[00194.24-00195.20] 你向法院起诉
[00195.20-00196.72] 那这时候法院会不会保护你
[00196.72-00197.60] 会保护你
[00197.60-00199.60] 有些超过诉送时效了
[00199.60-00200.82] 那这种情况之下
[00200.82-00202.16] 你就算是了
[00202.16-00205.80] 抢质我旅行还怀一物的这样的一箱
[00205.80-00206.36] 权力
[00206.36-00207.48] 那这时候我们说了
[00207.48-00209.06] 这箱权力它其实是所
[00209.06-00211.82] 是受到诉送时效的限制的
[00211.82-00213.22] 而诉送时效是用于什么呢
[00213.22-00213.88] 请求权
[00213.88-00215.44] 比如说战权权权权权
[00215.44-00215.96] 对不对
[00215.96-00217.00] 或者是我们所说的
[00217.00-00218.06] 误权权权权
[00218.06-00219.40] 等等这一系列的
[00219.40-00222.24] 它其实都会受到诉送时效的限制
[00222.24-00222.80] 所以大家知道
[00222.80-00224.00] 诉送时效是啥意思
[00224.00-00225.70] 就超过了最长的这样的一个
[00225.70-00226.72] 诉送时要期限
[00226.72-00228.82] 那这个在就成了自然之间
[00228.82-00230.44] 你如果像法院起诉我的话
[00230.44-00231.32] 那不好意思
[00231.32-00233.96] 已经没有办法让我强制还缓给你了
[00233.96-00235.84] 那这个就叫做诉讼实效
[00235.84-00238.12] 所以又回到了咱们前面说到的一句话
[00238.12-00238.96] 只是法律呢
[00238.96-00240.60] 它确实是保护我们的权利
[00240.60-00243.92] 但是法律不会保护躺在权利上睡觉的人
[00243.92-00245.40] 如果你不激激行权的话
[00245.40-00247.44] 他就因为这你对于这个东西可以有可无嘛
[00247.44-00249.72] 那这种情况之下法律就不保护我们了
[00250.56-00252.12] 那这个地方就是我们所说的
[00252.12-00253.20] 诉讼实效
[00253.20-00255.60] 大家有这样一个概念就OK了
[00255.60-00256.32] 那知道了
[00256.32-00257.36] 什么是诉讼指效
[00257.36-00258.36] 我们就来看一下
[00258.36-00259.96] 第一个就是诉讼指效
[00259.96-00261.24] 它的一个期间
[00261.24-00263.12] 那诉讼指效到底有多长
[00263.12-00264.76] 因为这个时间的长短
[00264.76-00265.96] 它其实有一个作用
[00265.96-00266.84] 它的作用
[00266.84-00271.16] 就在于我们能否受法律保护我的期间
[00271.16-00272.00] 到底有多长
[00272.00-00273.68] 也就是你的起诉的期间
[00273.68-00274.12] 对吧
[00274.12-00276.32] 这个就叫做诉讼指效的期间
[00276.32-00277.08] 那诉讼指效
[00277.08-00278.80] 它分为这么集中情况
[00278.80-00281.22] 第一种情况就叫做普通的
[00281.22-00282.28] 诉讼指效
[00282.28-00283.40] 普通的诉讼指效
[00283.40-00284.48] 就是一般情况之下
[00284.48-00285.12] 比如说
[00285.12-00289.20] 接款等等普通宿用史效一般情况下同标准一下
[00289.46-00293.30] 普通宿宿宿宿使效七线原则上是三年
[00293.30-00296.48] 普通宿宿宿使效它的一个起算是什么时候起算呢
[00296.48-00301.24] 说自权力人知道或者是阴当制道权力素損还知起
[00301.24-00304.32] 开始 起算咱们以刚才的借款合同维利
[00304.32-00307.20] 同维来看一下刚才那个借款合同
[00308.16-00309.18] 我穿你借钱
[00310.20-00310.72] 对吧
[00310.72-00312.60] 我穿你借钱是哪一天借的呢
[00312.60-00314.30] 我把这个时间折化得短一点
[00315.12-00316.16] 是刚才我说了
[00316.16-00320.44] 我是在2023年的10月11号长期前
[00320.44-00321.44] 我们刚才约定了
[00321.44-00322.68] 接款期限是多少
[00322.68-00325.36] 接款期限是一年
[00326.64-00328.32] 在这里接款期限
[00329.24-00330.24] 为1年
[00330.24-00334.44] 那也就是我的还款期应该是到2024年的10月11号
[00334.44-00336.36] 这个期间要环境钱了
[00336.36-00336.80] 对不对
[00336.80-00338.36] 在这个时候就要环境钱了
[00338.36-00340.64] 那如果到了2024年10月1号
[00340.64-00341.96] 没有环境钱就可以怎么样
[00341.96-00343.56] 就可以像法院起诉了
[00343.56-00346.38] 那这个起诉的这个起节也就是我们所说的
[00346.38-00348.94] 你自旅行起限进版之前
