[00000.00-00003.28] Hello同行,好久不见了,我是几日老师。
[00003.28-00013.32] 之前在与大区讲迷法的时候,我们从红官上给大家讲解了一下迷法,他大概的一些内容,我们把这个部分的土称为叫做迷法的盖数。
[00013.32-00019.72] 在迷法的该出当中,我们要知道迷法调整的是平等主体之间的人生关系和拆关系。
[00019.72-00024.32] 而他所调整的这个关系,我们把的称传的叫做迷式法律关系。
[00024.32-00029.06] 于是在民法该数当中,我们先去给大家讲解了民事法律关系的基本原理
[00029.06-00035.32] 第一个就讲解了民事法律关系,它到底包含那些内容,比如说,他必须要有相用的主体
[00035.32-00038.82] 我们在民事法律关系的主体当中讲到了自然人和法人
[00038.82-00043.72] 那周年就在于自然人,于是在自然人当中给大家去也生出来了
[00043.72-00050.02] 我们所说的自然人,他必须具备的两项权利,有个叫做民事权利能力以及叫做民事行为能力
[00050.02-00052.22] 那在这里面这次民事主体当中
[00052.22-00054.62] 我们需要作为重脸去掌握的
[00054.62-00056.68] 我们说了总会发生一些事情
[00056.68-00059.22] 他要引起民事法律关系的变化
[00059.22-00060.78] 而发生的这些呢
[00060.78-00064.36] 我把它称这个叫做民事法律是使
[00064.36-00065.50] 而民事法律是使
[00065.50-00069.74] 我们在这里面有给大家去讲到了民事法律行为
[00069.74-00073.30] 民事法律行为是我们常见的一个非常重要的一个重点
[00073.30-00078.18] 因为他和我们所说的后面所学到的要债和通行等等
[00078.18-00079.54] 都有密切的关系
[00079.54-00081.18] 通过迷式法律行为呢
[00081.18-00082.42] 我们就给大家讲了
[00082.42-00084.02] 我们所说的有效的
[00084.02-00084.90] 无效的
[00084.90-00086.52] 还有我们所说的可
[00086.52-00087.34] 彻销的
[00087.34-00088.82] 迷式法律行为等等
[00088.82-00090.18] 或者是效率带定的
[00090.18-00091.70] 那这里面需要大家去找过的
[00091.70-00092.98] 就是给我每一个案例
[00092.98-00094.46] 我们要能够去判则出来
[00094.46-00097.42] 它属于迷法律行为当中的哪一种情况
[00097.42-00099.34] 所以这是在迷式法律关系当中
[00099.34-00100.42] 给大家去讲解的
[00100.42-00102.42] 那讲了迷式法律关系之后呢
[00102.42-00104.10] 我们在这里面通过
[00104.10-00105.58] 迷式法律行为当中
[00105.58-00107.90] 会提到了一点叫做啥呢
[00107.90-00111.30] 叫做我們所說的效力帶定的
[00111.30-00112.14] 明是法律行為
[00112.14-00114.44] 對吧 那效力帶定的明是法律行為的話
[00114.44-00116.54] 我們在那裡們群是給大家提到了一個點
[00116.54-00118.06] 就叫做代理
[00118.06-00119.94] 所以從明是法律行為當中
[00119.94-00120.94] 沒有給大家影響出來
[00120.94-00123.06] 另外一個點就叫做代理
[00123.06-00125.42] 那在代理當中我們要第一個要掌握
[00125.42-00128.38] 這個代理它的一個大概的關係是什麼樣子的
[00128.38-00130.14] 第二個就是在代理當中
[00130.14-00131.78] 我們要重點去掌握
[00131.78-00134.02] 無權代理和表現代理
[00134.02-00135.34] 那無權代理和表現代理
[00135.34-00137.34] 最明顯的一個區分就要看它
[00137.34-00139.34] 是否有相的權力外觀
[00139.34-00140.26] 那最後一個點
[00140.26-00141.86] 我們就要給同一續明確一下
[00141.86-00142.58] 民法呢
[00142.58-00143.66] 他雖然是調整
[00143.66-00145.50] 平冷主體之間的人身關係的
[00145.50-00146.22] 才能關係
[00146.22-00148.34] 保護群中的權力
[00148.34-00148.78] 對吧
[00148.78-00149.94] 但是在這個過程中
[00149.94-00151.98] 他不可能無限期的保護我們
[00151.98-00152.46] 我們之前
[00152.46-00154.18] 經常給大家說過一句話
[00154.18-00154.94] 就是法律
[00154.94-00157.58] 他不會保護在權力上碎膠的人
[00157.58-00159.42] 所以遇到權力的行使
[00159.42-00161.26] 我們要積極到行權
[00161.26-00162.58] 那他的行權呢
[00162.58-00164.34] 只是有一個時間的限制
[00164.34-00166.86] 我把這個時間的称之為叫做
[00166.86-00168.66] 塑松石销
[00168.66-00170.96] 所以这是我们在迷法盖束当中
[00170.96-00172.46] 去打讲到的内容
[00172.46-00173.50] 希望透震们
[00173.50-00174.90] 给了这么长一段时间
[00174.90-00177.30] 不要把这个步伐去给它忘记了
[00177.30-00179.90] 这是我们所提到的迷法的盖束
[00179.90-00181.14] 那讲迷法盖束
[00181.14-00182.06] 我其实给大家说了
[00182.06-00183.58] 咱们整个全书
[00183.58-00185.34] 给大家讲四个部分的内容
[00185.34-00186.58] 除了迷法盖束之外
[00186.58-00189.50] 还要讲讲误权和透和青春走热
[00189.50-00190.22] 接下来
[00190.22-00191.74] 今天就要进入到
[00191.74-00193.42] 误权的学习当中来
[00193.42-00194.46] 我们来看一下
[00194.46-00198.14] 那目前其實強調的是這個物它的一個歸屬
[00198.14-00200.82] 換句話說就是這個物它的使用價值
[00200.82-00202.62] 它的所有權它的交換價值
[00202.62-00205.94] 如何去歸屬然後去分配歸誰使用的問題
[00205.94-00208.74] 那這些可能都是要務權會剩一道的
[00208.74-00212.82] 那小學好務權其實同學們第一步就是要掌握住
[00213.46-00214.90] 物權的機會原理
[00214.90-00217.54] 因為有的時候同學們經常會說
[00217.54-00220.06] 這個東西歸我所有的東西歸它所有
[00220.06-00225.02] 然后我们经常也能看到大家去买房子的时候比如说你家房子花了好几百万
[00225.22-00229.70] 买的那种我们所说的雪区房或者是你家在那人买的房子
[00229.90-00232.06] 你一下子可能拿不出来好几百万
[00232.26-00234.50] 那这种情况之下是不要像银行贷款的
[00234.78-00236.70] 那像银行贷款它为什么会贷给你
[00236.86-00239.34] 就是它把钱贷给你你要把你的房子
[00239.34-00243.06] 你买的那个四和月月号或者是你买的那个大并数以后
[00243.22-00244.58] 是不要抵押给银行啊
