[00000.00-00004.90] 好的 那我們在前面的務權變動的基本原理當中給大家講了
[00004.90-00008.40] 務權到底包括哪些我們有了解了務權的客體物
[00008.40-00010.00] 它到底是如何花分的
[00010.00-00014.40] 那接下來我們就來看一下務權當中的第一個內容就叫做索權
[00014.40-00017.40] 索權在前面給大家說過了 它是自務權
[00017.40-00020.50] 也就換句話說呢 就是我們強調索權
[00020.50-00022.80] 這是我們在日常生活當中經常提到說
[00022.80-00025.20] 那個東西是歸於我所有的
[00025.20-00027.20] 或者我們所買了一部新的手機
[00027.20-00029.60] 我说这个新的手机是我的
[00029.60-00029.92] 对吧
[00029.92-00030.88] 这种情况之下
[00030.88-00032.48] 其实在这样的案例里
[00032.48-00034.84] 我们都会设议到相打搜据
[00034.84-00035.72] 那小伙传
[00035.72-00037.80] 我们所说的搜据搞清楚
[00037.80-00040.44] 我们首先第一个要去掌握住
[00040.44-00041.12] 我们所说的
[00041.12-00042.20] 污泉变动
[00042.20-00043.84] 它的一个基本情况
[00043.84-00045.84] 那所谓的这个污泉变动
[00045.84-00046.84] 它一般强调
[00046.84-00048.92] 就是污泉的设立变弓
[00048.92-00050.28] 转让消灭
[00050.28-00051.56] 这个就是我们所说的
[00051.56-00052.96] 污泉变动
[00052.96-00054.32] 这个污泉变动
[00054.32-00056.80] 它其实又自己的分类的
[00056.80-00059.32] 我们来看一下 武权变弄的分类
[00059.32-00060.84] 这个地方的武权变弄
[00060.84-00063.16] 它说 根据武权变弄
[00063.16-00065.00] 依法定分类体系
[00065.00-00067.16] 武权变弄包括两种
[00067.16-00068.76] 一种叫一般武权变弄
[00068.76-00070.56] 第二个叫特殊武权变弄
[00070.56-00071.88] 而一般武权变弄
[00071.88-00073.96] 又根据发生原因的不同
[00073.96-00075.36] 分类着两种
[00075.36-00077.76] 第一种叫基于迷失法的行为
[00077.76-00079.12] 所发生的武权变弄
[00079.12-00081.36] 第二种叫飞机迷失法的行为
[00081.36-00084.16] 所产生的武权变弄
[00084.16-00085.12] 如果老师
[00085.12-00087.96] 我现在有一点云山物肉的感觉了
[00087.96-00088.32] 对吧
[00088.32-00090.70] 你说老师你刚才给我们讲误权说
[00090.70-00092.80] 误权的包括所有权
[00092.80-00094.80] 包括用误权
[00094.80-00096.04] 包括单某无权
[00096.04-00098.18] 然后我们说开拼切进来的时候
