[00000.00-00004.60] 前面我们给大家讲到了我们所说的这个误权
[00004.60-00009.40] 在误权华分的时候说如果从他的利用角度来发分的话
[00009.40-00013.08] 我们可以把误权华分为第一个就叫做所有权
[00013.08-00015.20] 所以他是自误权的一种
[00015.20-00019.40] 我们在做权当中给大家讲了误权变动的基本原理
[00019.40-00022.00] 我讲到写了误权变动的基本原理
[00022.00-00025.40] 然后在基本原理当中讲到了技术曲德
[00025.40-00028.80] 然后从技术曲德当中又给大家讲了我们所说的
[00028.80-00029.84] 善一期的
[00031.10-00032.90] 善一期的和技术取得
[00032.90-00034.44] 它其实本身都是
[00034.44-00036.22] 搜权取得的一种方式
[00036.22-00037.76] 然后在善一期的之后
[00037.76-00040.06] 我们在后面又给大家讲了相当的
[00040.06-00041.34] 共有哦对吧
[00041.34-00042.88] 这是我们所说的搜权
[00042.88-00044.16] 而我们在不全当中
[00044.16-00046.46] 在第一天宽价的时候给大家讲到了
[00046.46-00048.00] 叫做用一物权
[00048.00-00050.30] 用一物权的就是东西不是你的
[00050.30-00052.86] 但是你也享有这个东西的使用价值
[00052.86-00054.40] 于是在用一物权当中
[00054.40-00056.96] 我们给大家讲了土地成包金融权
[00056.96-00058.84] 宅基地的使用权
[00058.84-00063.60] 我们还讲到了居住权以及地医权和相领关系
[00063.60-00065.08] 我说了像这些点
[00065.08-00067.68] 它一般请来再考试当中会考察一些细节
[00067.68-00069.88] 所以我们在框架书里的第一天
[00069.88-00073.16] 我们就把整个用入权当中所设计到的细节
[00073.16-00074.92] 全部给大家书里清楚了
[00074.92-00078.60] 在目前的当中我们通过它的利用形式
[00078.60-00082.64] 又还有另外一种就是我们所说的叫做单宝误权
[00082.64-00084.96] 我们所说的单宝误权
[00084.96-00086.00] 大家應該知道
[00086.00-00087.48] 它和用一物權不一樣
[00087.48-00090.32] 用一物權的你對於這個東西
[00090.32-00092.60] 是使用它的什麼使用價值
[00092.60-00094.44] 而我們所說的單寶物權
[00094.44-00096.04] 單寶物權其實我們看懂了
[00096.04-00097.00] 是它的什麼呢
[00097.00-00099.24] 看懂了是它的交換價值
[00099.24-00100.32] 也就是說這個東西
[00100.32-00101.56] 它有一定的價值
[00101.56-00103.52] 以它來作為單寶物
[00103.52-00105.36] 來單寶物我們的是吧
[00105.36-00106.08] 貸款呢
[00106.08-00106.96] 借款呢等等
[00106.96-00107.28] 對吧
[00107.28-00109.28] 這個就叫做單寶物權
[00109.28-00110.16] 單寶物權呢
[00110.16-00112.36] 它本身是物寶的一種形式
[00112.36-00113.96] 這個就是我們在物權
[00113.96-00115.96] 所的分類當中要給大家去講到的
[00115.96-00117.96] 那麼喜歡了前兩種之後
[00117.96-00119.96] 那接下來我就來看一下第三個內容
[00119.96-00121.96] 就叫做燈寶霧圈
[00121.96-00123.96] 燈寶霧圈燈寶霧圈
[00123.96-00127.96] 首先第一個我們要知道到底什麼叫做燈寶霧圈
[00127.96-00130.96] 在這裡我們來看一下燈寶霧圈的概念
[00130.96-00135.96] 他說燈寶霧圈是指為了燈寶債務的旅行
[00135.96-00138.96] 在債務人和第三人的特有物
[00138.96-00140.96] 或者是權利上所設定的一種
[00140.96-00145.04] 那一种抬股权 包括第二权制权和留治权
[00145.04-00147.40] 在这里面 第一个考虑 去出现了
[00147.40-00148.24] 同们注意一下
[00148.24-00150.92] 单磨屋权在大分类上有三种分类
[00150.92-00155.24] 大注意下是哪三种 标术一下一个实际型的体目
[00155.24-00159.88] 就包括我们所说的第二权 治权 还有我们所说的留治权
[00159.88-00162.28] 那这个呢 就是我们所说的单磨屋权
[00162.28-00163.72] 这单磨屋权很简单
[00163.72-00165.60] 这是我朝你接前 对吧
[00165.60-00167.52] 你会出于什么原因 借给我呢
[00167.52-00169.52] 第一个呢 这是我这个人心域不错
[00169.52-00170.56] 原来的关系也挺好
[00170.56-00172.12] 你摸不开妙你把钱借给我
[00172.12-00174.24] 但是你大反把钱借给我
[00174.24-00176.08] 你心里是不是都会打鼓
[00176.08-00178.52] 就是我这个钱到底能不能还上
[00178.52-00181.04] 如果还不上这个钱打铁票了怎么整
[00181.04-00181.36] 对吧
[00181.36-00184.36] 这里面其实就会涉及到我们所说的什么
[00184.36-00185.76] 债务旅行的问题
[00185.76-00189.36] 所以你看单独全本身是为了单独债务的旅行
[00189.36-00190.48] 那我说了无说
[00190.48-00191.80] 那你借玩说
[00191.80-00193.56] 我说你也行
[00193.56-00193.84] 对吧
[00193.84-00195.60] 但是我这个二十万呢
[00195.60-00196.52] 你再提供一个保障
[00196.52-00199.28] 我说我把我那个车我那个房子低给你
[00199.28-00202.32] 那你看我们日常生活说话 车房抵给你
[00202.32-00203.64] 其实就是在说什么
[00203.64-00206.40] 就是在说设立 但保诡权的问题
[00206.40-00208.00] 所以在单老无权当中
[00208.00-00210.12] 就会设议到三种权力
[00210.12-00211.16] 这三种权力呢
[00211.16-00213.76] 它的设立的规则是不一样的
[00213.76-00216.16] 分别就是底亚权制权
[00216.16-00217.60] 还有所说的留志权
[00217.60-00219.24] 所以第一个点 大家要能够明确
[00219.24-00221.28] 无所说 单老问题不权
[00221.28-00222.64] 分别拿进入形式
[00222.64-00224.00] 而这个单老无权
[00224.00-00225.76] 大家注意一下 我在这里呢
[00225.76-00229.40] 在今天的講點當中要給大家先搭建一個框架
[00229.40-00232.02] 因為這個框架對我們來說特別的重要
[00232.02-00235.18] 如果大家是參加比如說軍隊文質的考試
[00235.18-00238.00] 你是法律專業的一可能會順利到公共科目
[00238.00-00241.62] 又或者我們在考軍隊文質的公共科目當中
