[00000.00-00002.82] 那么了解了整个单宝制度的宽价之后
[00002.82-00005.60] 今天我们就来看一下在单宝制度当中
[00005.60-00007.68] 单宝误权当中的第一个内容
[00007.68-00009.88] 就是我们所说的这个 敌阿权
[00009.88-00011.72] 那想要了解敌阿权
[00011.72-00013.72] 我们首先要知道什么叫做敌阿权
[00013.72-00015.60] 咱们先来看一下敌阿权的概念
[00015.60-00017.16] 在敌阿权的概念当中
[00017.16-00019.80] 有几个小的细节需要他们去注意
[00019.80-00020.80] 就是这个细节呢
[00020.80-00022.80] 它不是我们在考试当中
[00022.80-00025.04] 一定会出现在选项当中考察的点
[00025.04-00026.04] 但是这个细节呢
[00026.04-00027.20] 它就决定了
[00027.20-00030.84] 我们如何去区分 底下全制押权以及刘志权
[00030.84-00032.80] 我们来看一下底下全的概念
[00032.80-00039.20] 他是底下全是制占全人对于占物人或第三人不转移占有而提供的单独财产
[00039.20-00046.60] 于占物人不理性占物或发生当时约定的实现底下全的情形的时候依法就该才成小的优先受伤的权力
[00046.60-00048.00] 就叫做底下全
[00048.00-00050.20] 其实底下全本质上我们要知道
[00050.20-00053.92] 我们最常见的就是我们买房子朝银行代款
[00053.92-00054.28] 对吧
[00054.28-00056.40] 这个概念咱们已经提到了好多次了
[00056.40-00059.66] 咱就以我买房子朝银行贷款这个为利
[00059.66-00060.68] 大家想一下
[00060.68-00063.48] 我现在买的房子假设是200万
[00063.48-00065.28] 或者是20万或者是50万
[00065.28-00066.56] 都凡人多少钱都行
[00066.56-00070.16] 我身上没有足够的钱我就会向银行借款
[00070.16-00073.60] 那我向银行借款就向银行贷款的这个过程里面
[00073.60-00075.92] 银行担心我还不上他的这个钱
[00075.92-00078.56] 于是他就会要求我把房子给他
[00078.56-00079.62] 但是从来想一下
[00079.62-00082.18] 这个底下钱他的一个设立的情况
[00082.18-00083.98] 转不转移底下物的账有
[00083.98-00086.62] 有人说我把房子抵押给银行了之后
[00086.62-00088.54] 这个房子再不在我手脸
[00088.54-00090.02] 是为依旧在我手脸
[00090.02-00093.18] 也就是说我设立押权之后抵押我
[00093.18-00094.58] 依旧在我手脸
[00094.58-00096.38] 换句话说就是抵押我
[00096.38-00097.82] 不转移战友
[00097.82-00099.90] 同时把不转移战友这个刺画出来
[00099.90-00103.22] 抵押权的设立是不转移战友抵押物的
[00103.22-00105.90] 也是无论你抵押出去的是要汽车
[00105.90-00108.50] 你的自由车,你的三轮车你的房屋
[00108.50-00110.58] 抵押出去任何东西都OK
[00110.58-00111.86] 只要你设立押权
[00111.86-00113.94] 这个东西就一定会在你的手脸
[00113.94-00114.66] 明白了吧
[00114.66-00116.10] 因为他不能影响
[00116.10-00117.70] 你对于这个目前的使用
[00117.70-00118.50] 欢迎话说呢
[00118.50-00119.54] 设立了点钱之后
[00119.54-00120.90] 东西依旧在你手里
[00120.90-00122.18] 你想怎么处分
[00122.18-00122.98] 就怎么处分
[00122.98-00125.14] 你想去卖就可以去卖他
[00125.14-00126.98] 所以这时候我们所说的点钱
[00126.98-00129.86] 而你如果把你的房子点给银行之后
[00129.86-00130.98] 那到期了
[00130.98-00133.46] 我们所说这个银行的贷款你还不上
[00133.46-00136.66] 那这个时候银行是为要把你的房子贷款
[00136.66-00138.18] 那银行把你的房子贷款的料
[00138.18-00139.46] 由于他设立了点钱
[00139.46-00142.66] 他就可以从你拍那房子的这笔款相当中
[00142.66-00145.58] 優先受長自己借利你的200萬
[00145.58-00147.46] 也就是先於其他借錢人
[00147.46-00149.30] 因為你在去對外借款的時候
[00149.30-00151.42] 你可能不單單只是超銀行借款了
[00151.42-00153.98] 那你可能是在銀行貸款的記錄之上
[00153.98-00155.94] 你又超我借了200萬塊錢
[00155.94-00157.86] 又像其他人借了好幾萬塊錢
[00157.86-00160.66] 那這個時候你有多比借款的時候
[00160.94-00162.38] 有時候你有多比
[00162.38-00163.82] 借我要旅行的時候
[00163.82-00165.46] 那怎麼去旅行這個债呢
[00165.46-00166.90] 如果設立了傑産的話
[00166.90-00169.14] 那傑産就會優先受長
[00169.14-00171.90] 所以在這裡面什麼叫做優先受長的權利呢
[00171.90-00174.14] 同时就知道当存在多比账物的时候
[00174.14-00176.50] 如果说了我们所说的单保无权
[00176.50-00179.70] 那他就可以先与其他的普通责权人
[00179.70-00180.66] 有些受伤
[00180.66-00182.34] 这个就是底安全的概念
[00182.34-00184.82] 而底安全概念当中需要同们掌握的细节
[00184.82-00186.70] 就是底安全它的一个特点
[00186.70-00189.14] 就是不转移战友底下物
